Hyperboreus Labyrinthus,80.28,300.25,111
Hyperboreus (Lacus),74.83,300.0,0
Hyperboreus Scopulus,82.41,200.0,0
Hypernotius Scopulus,-77.86,88.0,0
Hypsas Vallis,33.63,57.99,36
Iamuna Chaos,-0.28,319.39,21
Iamuna Dorsa,20.97,309.6,38
Iani Chaos,-2.19,342.96,450
Iapygia (Iapigia),-19.78,65.0,0
Iaxartes Tholus,71.8,345.0,53
Iazu,-2.71,354.82,6
Iberus Vallis,21.25,152.07,87
Ibragimov,-25.43,300.43,86
Icaria,-39.67,230.0,0
Icaria Fossae,-48.09,234.84,2115
Icaria Planum,-43.27,253.96,566
Icaria Rupes,-35.79,220.32,159
